Lote;Nome;Manha;Tarde;Total
1;Estrangeira;7.2;6.8;14
1;Seriema;10;7.8;17.8
1;Lisboa;8.2;6.6;14.8
1;Cambeta;5.8;5.2;11
1;Queimada;7.2;6;13.2
1;Caneca;8.6;7.2;15.8
1;Mucinha;7;4.8;11.8
1;Panqueca;9.6;8;17.6
1;Paulistinha;9;8.8;17.8
1;Moeda;6;4.4;10.4
1;Boa vista;7;5.4;12.4
1;Azeitona;8.2;6;14.2
1;Pampulha;6;4.8;10.8
1;Brejeira;7.2;5;12.2
1;Uberlandia;8;8;16
1;Fazendinha;10;2.8;12.8
1;Galocha;6;5;11
1;Pretinha;6.4;5;11.4
1;Uranha;7;6.8;13.8
1;Ribada;8;6;14
1;Granjeira;6.8;5.8;12.6
1;Rapadura;7;3.8;10.8
1;Pretona;6.4;5.4;11.8
1;Farrista;6;5;11
1;Lavoura;7.6;6.2;13.8
1;Farofa;7.2;6;13.2
1;Cacula;7.6;8.6;16.2
1;Riqueza;8;5;13
1;Candeia;6;8;14
1;Faisca;5.2;5;10.2
1;Franceza;6.4;5;11.4
1;Canastra;6;3.8;9.8
1;Cacarola;10;9;19
1;Piruca;4;4;8
1;Serenata;6;4.8;10.8
1;Purina;7;4;11
1;Granfina;6;7;13
1;Goiana;5.2;6.6;11.8
1;Empreza;7.4;9.2;16.6
1;Mosca;5.4;6.8;12.2
1;Panda;10;8.2;18.2
1;Tombada;5;3;8
1;Uberaba;;8;8
1;Serena;7;6;13
1;Tampinha;8.6;6.8;15.4
1;Itauna;10;9;19
1;Meia Sola;2;2;4
1;Paulista;10.2;8.8;19
1;Pata;6;5;11
1;Pampa;6;6;12
1;Madrugada;9;8;17
1;Balinha;6;3.4;9.4
1;Boneca;5.8;6.6;12.4
1;Imprensa;6.2;8;14.2
1;Pomba;8.4;12;20.4
1;Monaliza;7;8;15
1;Carla;9.2;8.4;17.6
1;Banana;6;5.2;11.2
1;Cachoeira;10;7.6;17.6
1;Japoneza;5;3.6;8.6
1;Jaguaneza;3;3.2;6.2
1;Traira;6.2;5.2;11.4
1;Reforma;10.4;9.6;20
1;Menina;7;5.4;12.4
1;Bargada;9.4;8;17.4
1;Juazeira;5;3;8
1;panela;10;8;18
1;Moxa;5.8;7;12.8
1;Novela;5;6.2;11.2
1;Ciganinha;11;6.8;17.8
1;Petrolina;9;7.8;16.8
1;Lombada;7;5.4;12.4
1;Revista;7.4;7;14.4
1;Arapuca;4;2;6
1;Garantia;2;4;6
2;Fazendeira;11;7;18
2;Baetona;8.4;6.6;15
2;Figura;7;5;12
2;Angolinha;12.4;10;22.4
2;Montanha;11;9;20
2;Gafieira;11;8;19
2;Manchada;8.8;6.2;15
2;Fumaca;7.2;5;12.2
2;Brahma;13.4;9;22.4
2;Azulinha;12.2;8.6;20.8
2;Donzela;5;4;9
2;Baiana;8.2;6.2;14.4
2;Areia;7.4;7;14.4
2;Caipira;10.8;6;16.8
2;Esmeralda;9;6.4;15.4
2;Paraibana;10;7.4;17.4
2;Roxinola;6;4.2;10.2
2;Nata;11;8;19
2;Garcinha;10;7.6;17.6
2;Confianca;12;7.6;19.6
2;Macan;9;5.6;14.6
2;Italiana;12;10;22
2;Luxosa;7;5;12
2;Belgica;1;1.2;2.2
2;Peroba;14.2;9.6;23.8
2;Jarra;9.6;6;15.6
2;Bosboleta;9.8;7.4;17.2
2;Madeira;10.2;8;18.2
2;Patativa;7;4.4;11.4
2;Emilia;5.2;4.2;9.4
2;Rajada;4;2;6
2;Pintura;13;8;21
2;Campolina;7;6;13
2;Cruzeta;7.8;6;13.8
2;Brasilandia;11;7;18
2;Carmona;10.6;6;16.6
2;Chumbada;12;5;17
2;Chupeta;7;6;13
2;Sombrinha;7;5.6;12.6
2;Barra Preta;9;7;16
2;Brioza;7;4.4;11.4
2;Noiva;9;7;16
2;Cinderela;10;8;18
2;Nobreza;10;6;16
2;Fanta;9.4;5;14.4
2;Paloma;11;8;19
2;Jardineira;6;4;10
2;Figurinha;3;2.2;5.2
2;Costura;6;3.6;9.6
2;Diretona;6.4;4;10.4
2;Esperanca;13;8.6;21.6
2;India;11;7.6;18.6
2;Sacola;13;8.8;21.8
2;Harpa;8;7;15
2;Troxada;11;6.4;17.4
2;Barra Grande;11;7.2;18.2
2;Branquinha;11;9.6;20.6
2;Xitona;7;5.6;12.6
2;Sardinha;3;3;6
2;Avenida;5;3;8
2;Alterosa;4.6;3.2;7.8
2;Cafusa;10;5.8;15.8
2;Toca;9;5.4;14.4
2;Piranha;5;3.4;8.4
2;Colonia;6.4;4.8;11.2
2;Gasolina;8.6;5.6;14.2
2;Encerada;12;8.2;20.2
2;Negrinha;13;8.4;21.4
2;Dama;8;4.8;12.8
2;Quaiada;6;8;14
2;Sara;7;4.2;11.2
2;Angola;4;2;6
2;Tribuna;5;2.6;7.6
2;Mamona;10;6.6;16.6
2;Ponteira;6;4;10
2;Florista;7;5;12
2;Garrucha;8.5;3.2;11.7
2;Realeza;5;3.6;8.6
2;Oequestra;6;3.4;9.4
3;Argentina;6;4;10
3;Catuaba;3;1.6;4.6
3;Polvora;7;3;10
3;Espada;6;2.4;8.4
3;Calcada;5;2.6;7.6
3;Manhosa;5;2;7
3;Fada;8.2;3;11.2
3;Paquita;4;1.2;5.2
3;Mineira;10.6;5;15.6
3;Camursa;7;3.4;10.4
3;Leitoa;7;2;9
3;Bolinha;3;2;5
3;Bananinha;5;2.2;7.2
3;Mulata;4;2.2;6.2
3;Rape;4.2;2.2;6.4
3;Espadilha;4;1.2;5.2
3;Marqueza;7;2.4;9.4
3;Beija Flor;4;2;6
3;Fuzaca;4;2;6
3;Nega;4;2.2;6.2
3;Coca;6;3;9
3;Guariba;1;0;1
3;Carneira;7.8;3.2;11
3;Pura;6;3.2;9.2
3;Maiadinha;8;4;12
3;Feiticeira;6;3;9
3;Bahia;4.6;2;6.6
3;Serra Azul;7.8;3.2;11
3;Carvoeira;7;3;10
3;Pantera;7;4;11
3;Itambe;7;4;11
3;Brauna;7.2;3;10.2
3;Cocada;3.6;0;3.6
3;Carapuca;7;4;11
3;Tronxa;4;1;5
3;Mucamba;3;2;5
3;Gaiola;4;2;6
3;Coruja;5.2;2;7.2
3;Pacoquinha;4;2;6
3;Barra Mansa;5.6;3;8.6
3;Carioca;4;1;5
3;Famosa;4.4;2;6.4
3;Xuxa;7.4;3.4;10.8
3;Capela;7;3;10
3;Codorna;7;3;10
3;Fruta;5;2;7
3;Negrona;7.6;2;9.6
3;Pintada;4;2;6
3;Mutuca;5;2.4;7.4
3;Limeira;6.2;3;9.2
3;Mojiana;7;4;11
4;Fumacinha;8;4.2;12.2
4;Futura;8;3.2;11.2
4;Perigosa;7.4;3;10.4
4;Una;10;7;17
4;Moreninha;6;3.4;9.4
4;Corcunda;7.2;3.4;10.6
4;Mexirica;7.4;4.2;11.6
4;Londrina;10.2;4.6;14.8
4;Cebola;5.4;3.6;9
4;Laguna;3.4;2;5.4
4;Letra;7.4;4;11.4
4;Cabacinha;10;5;15
4;Europa;5.6;2;7.6
4;Paraopeba;8;5;13
4;Leitura;7.4;4;11.4
4;Ruela;6;2.2;8.2
4;Lindoia;8.2;4.6;12.8
4;Canela;9.2;4;13.2
4;Sombra;9;4;13
4;Doida;9;6;15
4;Lembrada;8;4;12
4;Violeira;3;5.2;8.2
4;Cacimba;5;2.6;7.6
4;Tangerina;6;4;10
4;Fantasia;6;3.2;9.2
4;Lamparina;5;3.8;8.8
4;Cerveja;5;2;7
4;Faxineira;7;5;12
4;Sopa;8;3.2;11.2
4;Formosa;9.4;5;14.4
4;Piaba;7.4;4;11.4
4;Pratiada;6.4;3;9.4
4;Tranquila;8;4.2;12.2
4;Manchinha;7;3.4;10.4
4;Africana;9.4;4;13.4
4;Gabiroba;7.4;4;11.4
4;Trairinha;7;4;11
4;Escova;7;4;11
4;Portela;7.8;3;10.8
4;Garota;7.4;4;11.4
4;Chinesa;5;3;8
4;Cantora;9;4.6;13.6
4;Pavuna;6.4;3.4;9.8
4;Mariposa;11;6;17
4;Escola;8;4;12
4;Pimenta;8.6;4.2;12.8
4;Fogueira;10;6;16
4;Cativeira;7;4;11
4;Baliza;6.8;3.4;10.2
4;Meia Noite;6;2.4;8.4
4;Chapinha;6;3;9
4;Bolacha;4;1.2;5.2
4;Capetinha;10.2;4.2;14.4
4;Bigorna;7;3;10
4;Cabana;6;4.2;10.2
4;Industria;3;2;5
4;Mistura;6.2;4.6;10.8
4;Lembranca;7.2;4;11.2
4;Violeta;5.4;2.2;7.6
4;Moira;9.8;5;14.8
4;Jiboia;4;3;7
4;Boca Negra;5;2.4;7.4
4;Urca;4.6;4;8.6
4;Nabuca;7;3;10
4;Cristalina;8;3;11
4;Siririca;5.8;3;8.8
4;Madona;7;4;11
4;Gauchona;3.8;2;5.8
4;Tramela;8.4;4.4;12.8
4;Trigueira;7;3.4;10.4
5;Ruiva;2.4;0;2.4
5;Cabritinha;2.2;2;4.2
5;Sanfona;7;3;10
5;Fazendona;3;1;4
5;Girafinha;4.2;2;6.2
5;Castanha;9;3;12
5;Rendeira;4;1;5
5;Graviola;5.6;2;7.6
5;Represa;0;1.6;1.6
5;Ligeira;4;2;6
5;Rosada;5.4;2.4;7.8
5;Brasilia;5;1.2;6.2
5;Cabocla;8;3;11
5;Pinta Rocha;4.2;2;6.2
5;Cruvina;2;4;6
5;Floresta;2;1;3
5;Pedicure;3.4;1.2;4.6
5;Geleia;5.4;2;7.4
5;Nabuquinha;2;1;3
5;Oncinha;5;2;7
5;Cenoura;1;4;5
5;Onca;2;1.2;3.2
5;Masuca;4.4;3;7.4
5;Raposa;3;1.4;4.4
5;Baronesa;1;3.3;4.3
5;Faxina;4.2;2;6.2
5;Joia;4;2;6
5;Gralha;8;4;12
5;Resenha;5.2;2.4;7.6
5;Dobrada;6;2;8
5;Gravatinha;6;3;9
5;Careta;4;3;7
5;Paineira;5.4;2.4;7.8
5;Gatona;2;1;3
5;Sete Copas;7.6;2.4;10
5;Mancha;4;2;6
5;Carinhosa;6;3;9
5;Barcelona;2.6;1;3.6
5;Lagoa;2;0;2
5;Matutina;6;2;8
5;Loirinha;4.2;2;6.2
5;Colatinha;2;2;4
5;Lontra;3.6;2;5.6
5;Princesa;5;2;7
